date,evenement,startDate,endDate
Juin 1393,Processions et prières publiques pour la guérison du roi.,1393.0,1393.0
31 décembre 1393,"Rapt et viol de la veuve Ysabelet des Champions par 4 hommes, rue de la Huchette.",1393.0,1393.0
Janvier 1394,Le roi a recouvré la santé.,1394.0,1394.0
1er mars 1394,Retour du roi à Paris après son pèlerinage au Mont-Saint-Michel.,1394.0,1394.0
Juin 1394,Charles VI et Raymond du Temple posent la première pierre du nouveau Petit-Pont.,1394.0,1394.0
6 juin 1394,"Par lettre, l'Université notifie au roi ses positions pour mettre fin au schisme.",1394.0,1394.0
17 septembre 1394,Ordonnance d'expulsion générale des Juifs du royaume.,1394.0,1394.0
22 septembre 1394,On apprend la mort du pape Clément VII : c'est un espoir pour la fin du schisme.,1394.0,1394.0
23 septembre 1394,L'Université va demander aux cardinaux de différer l'élection du nouveau pape.,1394.0,1394.0
12 janvier 1395,"Naissance en l'hôtel Saint-Pol de Michelle, cinquième fille du couple royal.",1395.0,1395.0
2 février 1395,"Aux Mathurins, ouverture d'une grande assemblée pour résoudre la crise de l'Église.",1395.0,1395.0
7 avril 1395,Le roi est de retour à Paris après un pèlerinage au Puy.,1395.0,1395.0
13 avril 1395,Jean de Gerson succède à Pierre d'Ailly comme chancelier de l'Université.,1395.0,1395.0
14 avril 1395,Départ pour Avignon d'une ambassade devant demander à Benoît XIII de se retirer.,1395.0,1395.0
Août 1395,Une ambassade du roi de Hongrie vient à Paris demander une aide contre les Turcs.,1395.0,1395.0
11 septembre 1395,L'Université préconise la soustraction d'obédience au pape.,1395.0,1395.0
Fin novembre 1395,Charles VI est frappé par une troisième crise de folie.,1395.0,1395.0
25 et 28 nov. 1395,Les processions pour le roi sont cantonnées à Notre-Dame pour cause de neige. ,1395.0,1395.0
Décembre 1395,Nombreuses processions pour la guérison du roi.,1395.0,1395.0
2 janvier 1396,Les moines de Saint-Denis arrivent en procession à la sainte-Chapelle.,1396.0,1396.0
25 janvier 1396,Nouvelle processions pour la guérison du roi.,1396.0,1396.0
Début février 1396,Le roi recouvre la santé.,1396.0,1396.0
9 mars 1396,Signature d'un contrat pour le mariage du roi d'Angleterre avec Isabelle de France.,1396.0,1396.0
11 mars 1396,Charles VI ratifie le renouvellement de la trêve avec Richard II.,1396.0,1396.0
Avril 1396,"La femme de Louis d'Orléans, soupçonnée d'avoir empoisonné le roi, quitte Paris.",1396.0,1396.0
14 novembre 1396,Une tempête détériore de nombreuses toitures.,1396.0,1396.0
24 décembre 1396,Le roi apprend la défaite catastrophique de son armée à Nicopolis contre les Turcs.,1396.0,1396.0
22 janvier 1397,"Naissance en l'hôtel Saint-Pol de Louis, troisième fils du couple royal.",1397.0,1397.0
Fin février 1397,Le roi est touché par une quatrième crise de folie.,1397.0,1397.0
8 juillet 1397,Charles VI connait une courte rémission de sa maladie.,1397.0,1397.0
8 septembre 1397,Le roi et la reine mènent leur fille Marie au couvent de Poissy où elle prendra le voile.,1397.0,1397.0
30 novembre 1397,Dédicace de l'église des Blancs-Manteaux après sa reconstruction.,1397.0,1397.0
7 mars 1398,Le roi convoque à Paris tous les prélats du royaume.,1398.0,1398.0
24 mai 1398,Grande assemblée du clergé au sujet du schisme.,1398.0,1398.0
7 juin 1398,Un grand discours de Pierre Plaoul clôture l'assemblée du clergé.,1398.0,1398.0
11 juin-5 juil. 1398,"Aux Mathurins, prélats, universitaires et ducs votent pour la soustraction d'obédience.",1398.0,1398.0
27-28 juillet 1398,On annonce officiellement que la France se retire de l'obédience de Benoît XIII.,1398.0,1398.0
31 août 1398,"Naissance en l'hôtel Saint-Pol de Jean, quatrième fils du couple royal.",1398.0,1398.0
13 septembre 1398,La faculté de théologie condamne solennellement l'utilisation de la magie.,1398.0,1398.0
30 octobre 1398,"Deux mages, ayant prétendu à tord pouvoir guérir le roi, sont décapités.",1398.0,1398.0
24 novembre 1398,"Blanche, veuve du roi Philippe VI, donne aux Carmes un clou de la Passion.",1398.0,1398.0
1er décembre 1398,"Reçu chevalier, Jean de Montagu est maintenant nommé capitaine de la Bastille.",1398.0,1398.0
9 décembre 1398,"N'ayant pas pu guérir le roi, le sorcier Jean Cimar est décapité puis écartelé.",1398.0,1398.0
Février-mars 1399,Répit dans la maladie du roi.,1399.0,1399.0
Mars-avril 1399,Les pluies continuelles entraînent inondations et épidémie.,1399.0,1399.0
5 avril 1399,Le roi demande à nouveau au prévôt de veiller au pavage des rues de Paris.,1399.0,1399.0
Novembre 1399,Une comète traverse le ciel de Paris pendant huit nuits consécutives.,1399.0,1399.0
Printemps 1400,Charles Culdoë succède à Jean Jouvenel à l'Hôtel de Ville.,1400.0,1400.0
6 mai 1400,Louis d'Évreux meurt subitement au cours d'un dîner en l'hôtel de Nesle.,1400.0,1400.0
26 mai 1400,Charles VI a retrouvé toute sa tête après plusieurs mois de démence.,1400.0,1400.0
26 juin 1400,"Grand festin en l'hôtel de Nesle pour le mariage de Marie, fille du duc de Berry.",1400.0,1400.0
18 juillet 1400,"Guillaume de Dormans, archevêque de sens, vient visiter le collège de Beauvais.",1400.0,1400.0
13 janvier 1401,"Décès de Charles, second fils du roi.",1401.0,1401.0
19 janvier 1401,Le roi tombe à nouveau malade.,1401.0,1401.0
25 février 1401,Charles VI est rétabli.,1401.0,1401.0
Juin 1401,Guillaume de Tignonville est appelé au poste de prévôt de Paris.,1401.0,1401.0
25 août 1401,"Dans ses sermons, Jean Gerson critique sévèrement le Roman de la Rose.",1401.0,1401.0
27 octobre 1401,"Naissance en l'hôtel Saint-Pol de Catherine, sixième fille du couple royal.",1401.0,1401.0
7 décembre 1401,"Entrée à Paris du duc de Bourgogne et de six cents chevaliers, écuyers et arbalétriers.",1401.0,1401.0
Fin 1401,La reine Isabeau s'installe en l'hôtel Barbette qu'elle vient d'acheter.,1401.0,1401.0
14 janvier 1402,Louis d'Orléans et le duc Philippe le Hardi se réconcilient publiquement.,1402.0,1402.0
31 mars 1402,Philippe le Hardi quitte Paris.,1402.0,1402.0
15 avril 1402,Jean Courtecuisse plaide la soustraction d'obédience devant le Conseil royal.,1402.0,1402.0
20 ou 28 avril 1402,Le roi affecte le Petit Chatelet au logement du prévôt de Paris.,1402.0,1402.0
Mai 1402,"Louis d'Orléans, alors maitre du gouvernement, annonce la levée d'un impôt général.",1402.0,1402.0
Décembre 1402,Charles VI autorise les Confrères de la Passion à faire des représentations en public.,1402.0,1402.0
22 février 1403,"Naissance en l'hôtel Saint-Pol de Charles [futur Charles VII], cinquième fils du roi.",1403.0,1403.0
23 février 1403,Le roi va remercier Dieu à Notre-Dame pour la naissance de Charles.,1403.0,1403.0
25 avril 1403,Le roi recouvre la santé.,1403.0,1403.0
26 avril 1403,Le roi donne plein pouvoir à la reine en cas d'incapacité de sa part.,1403.0,1403.0
11 mai 1403,Charles VI reçoit le serment de fidélité des membres des Chambres du Parlement.,1403.0,1403.0
22 mai 1403,"Le corps de Jean de Popincourt, mort la veille, est convoyé par les parlementaires.",1403.0,1403.0
28 mai 1403,Le duc d'Orléans obtient que la France restitue son obédience au pape.,1403.0,1403.0
22 juillet 1403,Le roi tombe à nouveau malade.,1403.0,1403.0
21 août 1403,"Aux Mathurins, l'assemblée générale de l'Université réintègre les Dominicains.",1403.0,1403.0
1er octobre 1403,Le roi se rétablit.,1403.0,1403.0
20 décembre 1403,Nouvelle crise pour le roi.,1403.0,1403.0
24 mars 1404,Les deux sorciers qui s'étaient vantés de guérir le roi sont brulés publiquement.,1404.0,1404.0
Avril 1404,"Les gens du Parlement, comme tous les Parisiens, sont touchés par la bronchite.",1404.0,1404.0
Fin avril 1404,Louis d'Orléans fait dire une messe aux Célestins pour la mort de Philippe le Hardi.,1404.0,1404.0
12 juin 1404,Le duc de Berry offre l'hôtel du Porc-épic à Jean de Montagu.,1404.0,1404.0
14 juillet 1404,"Devant Sainte-Catherine, sévère rixe entre écoliers et les gens de Charles de Savoisy.",1404.0,1404.0
22 ou 24 août 1404,"Condamnation et bannissement de Ch. de Savoisy, suite aux événements du 14 juillet.",1404.0,1404.0
Fin août 1404,L'hôtel de Charles de Savoisy est démoli sur ordre du roi.,1404.0,1404.0
Mars 1405,Le duc d'Orléans ordonne la levée d'un nouvel impôt pour lutter contre les Anglais.,1405.0,1405.0
Mai 1405,L'hostilité des Parisiens envers Isabeau de Bavière ne fait que croître.,1405.0,1405.0
7 juin 1405,"Dans ses sermons, Jacques Legrand dénonce les vices des gouvernants du royaume.",1405.0,1405.0
9 juin 1405,Le roi retombe malade.,1405.0,1405.0
7 août 1405,"Le notaire Montragoux est assassiné rue de la Harpe, victime d'une vengeance.",1405.0,1405.0
12 août 1405,Le roi rend à la prévôté des marchands une partie de ses droits et revenus.,1405.0,1405.0
17 août 1405,La reine et le duc d'Orléans quittent Paris pour Melun.,1405.0,1405.0
18 août 1405,Le dauphin est emmené pour rejoindre sa mère à Melun.,1405.0,1405.0
19 août 1405,Jean sans Peur rejoint le dauphin et le ramène à Paris.,1405.0,1405.0
21 août 1405,Le duc de Berry se fait nommer par le roi capitaine général de Paris.,1405.0,1405.0
30 août 1405,Grande procession du clergé pour le retour de la paix.,1405.0,1405.0
10 septembre 1405,"Les portes du Temple, de Saint-Martin et de Montmartre sont murées.",1405.0,1405.0
26 septembre 1405,On demande aux Parisiens de s'armer pour garder leur bonne ville.,1405.0,1405.0
Fin septembre 1405,Des mesures défensives sont prises contre l'arrivée des troupes du duc d'Orléans.,1405.0,1405.0
9 octobre 1405,"Entre deux crises, le roi se rend à l'abbaye de Saint-Denis.",1405.0,1405.0
10 octobre 1405,Des émeutes ont lieu dans Paris à cause de simples rumeurs.,1405.0,1405.0
12 octobre 1405,Le roi charge son épouse de servir de médiatrice entre les deux ducs.,1405.0,1405.0
16 octobre 1405,Réconciliation entre les ducs d'Orléans et de Bourgogne.,1405.0,1405.0
21 octobre 1405,"Entrée à Paris des ducs d'Orléans, de Bourgogne et de Berry et de la reine Isabeau.",1405.0,1405.0
7 novembre 1405,"Au Louvre devant la Cour, Jean Gerson discourt pour exiger des réformes politiques.",1405.0,1405.0
1er décembre 1405,La reine Isabeau et Louis d'Orléans signent un pacte contre les ennemis du roi.,1405.0,1405.0
Janvier 1406,Louis d'Orléans place ses fidèles au Conseil du roi.,1406.0,1406.0
27 mai 1406,"Au Parlement, deux théologiens argumentent en faveur de la soustraction d'obédience",1406.0,1406.0
16 juin 1406,"Tôt le matin, une éclipse totale obscurcit le ciel de Paris.",1406.0,1406.0
27 juin 1406,Violente tempête de grêle au nord de Paris.,1406.0,1406.0
17 juillet 1406,Le Parlement condamne l'Épître des Toulousains défendant le pape.,1406.0,1406.0
Septembre 1406,Achèvement de la reconstruction du Petit-Pont.,1406.0,1406.0
1er septembre 1406,Procès des gens du duc de Berry après le pillage de l'hôtel de la Bannière.,1406.0,1406.0
11 septembre 1406,"A la demande de l'Université, le Parlement condamne la fiscalité pontificale.",1406.0,1406.0
15 septembre 1406,Charles de Savoisy est autorisé à revenir à Paris et à reconstruire son hôtel.,1406.0,1406.0
30 septembre 1406,Charles VI autorise les bouchers à fonder une confrérie en l'honneur de la Nativité.,1406.0,1406.0
17 novembre 1406,"Nicolas Flamel fait construire une maison pour les indigents, rue de Montmorency.",1406.0,1406.0
Nov.-déc. 1406,Nouveau synode des prélats et des universitaires au sujet du schisme.,1406.0,1406.0
20 novembre 1406,L'évêque authentifie la relique de saint Denis conservée à Notre-Dame.,1406.0,1406.0
6 décembre 1406 ,Le roi interdit toutes discussions sur l'authenticité des deux crânes de saint Denis.,,
3-4 janvier 1407,Le synode vote la soustraction d'obédience limitée aux affaires temporelles.,1407.0,1407.0
21 avril 1407,"Nouvelle taxe sur la circulation des marchandises, destinée à la réfection du pavage.",1407.0,1407.0
Juillet 1407,"Grève de l'Université, mécontente de l'échec de son ambassade auprès du pape.",1407.0,1407.0
Octobre 1407,Le prévôt de Paris fait pendre deux écoliers coupables d'assassinat.,1407.0,1407.0
Novembre 1407,Froid glacial à Paris.,1407.0,1407.0
10 novembre 1407,"Naissance en l'hôtel Barbette, de Philippe, sixième fils du roi. Il meurt le jour même.",1407.0,1407.0
20 novembre 1407,Louis d'Orléans et Jean sans Peur assistent à une messe de réconciliation.,1407.0,1407.0
23 novembre 1407,"La nuit tombée, Louis d'Orléans et son page sont assassinés rue Vieille-du-Temple.",1407.0,1407.0
24 novembre 1407,Le corps de Louis d'Orléans est transporté et inhumé en l'église des Célestins.,1407.0,1407.0
24 novembre 1407,Le prévôt Guillaume de Tignonville et ses hommes mène l'enquête dans le quartier.,1407.0,1407.0
26 novembre 1407,Jean sans Peur revendique le meurtre et quitte Paris.,1407.0,1407.0
10 décembre 1407,La veuve de Louis d'Orléans arrive à Paris ; elle est reçue aussitôt en l'hôtel Saint-Pol.,1407.0,1407.0
21 décembre 1407,Valentine Visconti demande réparation au roi pour le meurtre de Louis son mari.,1407.0,1407.0
Début janvier 1408,La Seine est totalement gelée.,1408.0,1408.0
27 janvier 1408,Fin des grands froids. La Seine dégèle.,1408.0,1408.0
31 janvier 1408,Le Petit-Pont et le Pont-Neuf [Saint-Michel] sont emportés par la crue des eaux.,1408.0,1408.0
1er février 1408,Une partie du Grand-Pont et de ses maisons tombent dans la Seine.,1408.0,1408.0
6-7 février 1408,"A cause de l'inondation, les parlementaires siègent à l'abbaye Saint-Germain-des-Prés.",1408.0,1408.0
28 février 1408,"Les Parisiens, sans regret pour Louis d'Orléans, fêtent le retour de Jean sans Peur.",1408.0,1408.0
8 mars 1408,"Pour Jean sans Peur, Jean Petit prononce au Parlement son Apologie du tyrannicide.",1408.0,1408.0
9 mars 1408,Jean sans Peur obtient du roi des lettres de grâce.,1408.0,1408.0
23 mars 1408,Les institutions parisiennes avancent 2 500 livres pour la reconstruction des ponts.,1408.0,1408.0
30 avril 1408,Pierre des Essarts remplace Guillaume de Tignonville comme prévôt de Paris.,1408.0,1408.0
12 mai 1408,Dédicace de l'église des Billettes.,1408.0,1408.0
14 mai 1408,On apprend l'existence de la bulle du pape Benoît XIII excommuniant le roi.,1408.0,1408.0
16 mai 1408,Les deux écoliers pendus en octobre 1407 sont solennellement enterrés aux Mathurins,1408.0,1408.0
21 mai 1408,La bulle du pape Benoît XIII excommuniant le roi va être déchirée publiquement.,1408.0,1408.0
21 mai 1408,Plusieurs ecclésiastiques favorables au pape sont emprisonnés à la Conciergerie.,1408.0,1408.0
Fin juillet 1408,Jean sans Peur quitte Paris.,1408.0,1408.0
11 août-5 nov. 1408,Synode relatif à l'église gallicane et à la soustraction d'obédience au pape.,1408.0,1408.0
20 août 1408,Les maîtres ayant soutenu le pape pour sa bulle sont humiliés publiquement.,1408.0,1408.0
26 août 1408,"La reine, le dauphin et plusieurs grands seigneurs arrivent à Paris, venant de Melun.",1408.0,1408.0
28 août 1408,"Arrivée à Paris d'Isabelle, duchesse d'Orléans, maintenant reine d'Angleterre.",1408.0,1408.0
28 août 1408,"Valentine Visconti, veuve de Louis d'Orléans, revient à Paris réclamer justice.",1408.0,1408.0
5 septembre 1408,Valentine Visconti et Isabelle d'Orléans sont reçues au Louvre par la reine.,1408.0,1408.0
9 septembre 1408,Charles d'Orléans et une troupe de trois cents hommes d'armes entrent dans Paris.,1408.0,1408.0
11 septembre 1408,Thomas du Bourg réfute la justification de Jean Petit devant le dauphin Louis.,1408.0,1408.0
12 septembre 1408,"Nicolas Fraillon, partisan du pape Benoit XIII, est libéré de prison.",1408.0,1408.0
16 septembre 1408,Les reliques de saint Landry sont transférées dans une chasse d'argent doré.,1408.0,1408.0
Octobre 1408,"La tension monte à Paris, dans l'attente du retour du duc de Bourgogne.",1408.0,1408.0
3 novembre 1408,"Le roi Charles VI est emmené secrètement par Charles de Navarre, direction Tours.",1408.0,1408.0
24 novembre 1408,Entrée triomphale de Jean sans Peur à Paris.,1408.0,1408.0
28 novembre 1408,La Cour et la Chambre des comptes cherchent des fonds pour l'achèvement des ponts.,1408.0,1408.0
2 janvier 1409,"Au collège de Navarre, la Faculté réfute les thèses hérétiques du franciscain Correl.",1409.0,1409.0
Mi-mars 1409,"Après la paix de Chartres, le duc de Bourgogne rentre à Paris.",1409.0,1409.0
17 mars 1409,"Le roi et le duc de Bourgogne reviennent à Paris, magnifiquement accueillis.",1409.0,1409.0
21 mars 1409,La reine et ses dames rentrent à leur tour à Paris.,1409.0,1409.0
24 mai 1409,"Jean Gilet, chanoine de Saint-Germain-l'Auxerrois, s'est suicidé par pendaison.",1409.0,1409.0
8 juillet 1409,Pierre de Candye a été élu pape [Alexandre V] : grande fête à Paris.,1409.0,1409.0
16 juillet 1409,"Mort de Pierre d'Orgemont, évêque de Paris.",1409.0,1409.0
24 juillet 1409,Gérard de Montagu est nommé évêque de Paris.,1409.0,1409.0
15 août 1409,Orage très violent sur la ville.,1409.0,1409.0
10 septembre 1409,La Ville récupère les revenus du Petit Pont reconstruit et de ses futures maisons.,1409.0,1409.0
13 septembre 1409,"Décès d'Isabelle, fille du roi, âgée de vingt ans.",1409.0,1409.0
15 septembre 1409,"La noblesse se rend à Notre-Dame, pour la réception de l'évêque Gérard de Montagu.",1409.0,1409.0
22 septembre 1409,Jean de Montagu donne une fête extraordinaire avec plus de 1800 plats de viande.,1409.0,1409.0
7 octobre 1409,"Jean de Montagu, grand maître de l'hôtel du roi, est arrêté sur ordre de Jean sans Peur.",1409.0,1409.0
17 octobre 1409,Jean de Montagu est décapité devant les Halles puis pendu à Montfaucon.,1409.0,1409.0
20 octobre 1409,"Dans une ordonnance royale, les princes justifient la mise à mort du grand maître.",1409.0,1409.0
Décembre 1409,Le roi confie à Hémon Raguier la gestion des finances de la reine Isabeau.,1409.0,1409.0
7 janvier 1410,"La bibliothèque de Jean de Montagu, confisquée, est transportée au Louvre.",1410.0,1410.0
23 février 1410,"A Notre-Dame, le chancelier prêche contre l'ordre des Mendiants.",1410.0,1410.0
2 mars 1410,Procession générale de l'Université à Saint-Martin-des-Champs.,1410.0,1410.0
5 mars 1410,"A Notre-Dame, l'assemblée des prélats rejette la bulle en faveur des ordres mendiants.",1410.0,1410.0
3 avril 1410,Le Parlement va se pencher sur l'affaire des deux chefs [crânes] de saint Denis.,1410.0,1410.0
Fin avril 1410,On apprend que les partisans d'Orléans s'allient au comte Bernard d'Armagnac.,1410.0,1410.0
Août 1410,"Armagnacs, Bretons, Bourguignons : les armées rivales pillent les alentours de Paris.",1410.0,1410.0
11 août 1410,Le roi Charles VI crée la compagnie des soixante arbalétriers de Paris.,1410.0,1410.0
2 novembre 1410,Le traité de Bicêtre apaise les tensions entre Armagnacs et Bourguignons.,1410.0,1410.0
8 novembre 1410,"Le prévôt de Paris, Pierre des Essarts, laisse sa place à Bruneau de Saint-Clair.",1410.0,1410.0
23 novembre 1410,"Aux Bernardins, assemblée générale au sujet de la décime imposée par le pape.",1410.0,1410.0
30 novembre 1410,L'Université refuse la décime et renvoie les légats du pape.,1410.0,1410.0
28 février 1411,Le roi ordonne le licenciement de toutes les troupes en armes fixées autour de Paris.,1411.0,1411.0
7 mars 1411,Un accord met fin au conflit entre chapelains et chanoines de St-Germain-l'Auxerrois.,1411.0,1411.0
Juin 1411,Charles dOrléans et les Armagnacs vont prendre les armes contre Jean sans Peur.,1411.0,1411.0
30 juin 1411,Orage phénoménal sur Paris.,1411.0,1411.0
18 août 1411,Le duc de Berry se plaint que l'on dise de lui qu'il hait les Parisiens.,1411.0,1411.0
Septembre 1411,Pierre Gencien remplace Charles Culdoë comme garde de la prévôté des marchands.,1411.0,1411.0
9 septembre 1411,Une relique de la Vraie Croix est exposée au cours d'une procession pour la paix.,1411.0,1411.0
11 septembre 1411,Pierre des Essarts reprend sa fonction de prévôt de Paris.,1411.0,1411.0
Mi-septembre 1411,La ville est en état de siège. Des chaînes sont tendues pour barrer les rues.,1411.0,1411.0
26 septembre 1411,Les Armagnacs repoussent Jean sans Peur et s'approchent de Paris.,1411.0,1411.0
Octobre 1411,Les Parisiens arborent des chaperons bleus et la croix de Saint-André.,1411.0,1411.0
11 octobre 1411,Les troupes de Bernard d'Armagnac occupent et pillent Saint-Denis et Saint-Cloud.,1411.0,1411.0
16 octobre 1411,Plus de 200 Parisiens en armes sont tués par les Armagnacs près de Saint-Lazare.,1411.0,1411.0
23 octobre 1411,Retour à Paris du duc de Bourgogne avec 7 000 soldats anglais.,1411.0,1411.0
8-9 novembre 1411,Les Bourguignons reprennent Saint-Cloud et Saint-Denis.,1411.0,1411.0
12 novembre 1411,Colinet du Puiseux et sept autres traîtres sont décapités aux Halles de Paris.,1411.0,1411.0
13 novembre 1411,"Devant Notre-Dame, le duc d'Orléans et ses complices sont déclarés excommuniés.",1411.0,1411.0
Décembre 1411,Le chevalier Mansart du Bois est décapité aux Halles de Paris.,1411.0,1411.0
20 janvier 1412,"Charles VI rétablit prévôté des marchands et échevinage, avec tous leurs privilèges.",1412.0,1412.0
20 janvier 1412,Pierre Gencien est élu prévôt des marchands.,1412.0,1412.0
20 février 1412,Élection de quatre échevins dont deux sont du parti du duc de Bourgogne.,1412.0,1412.0
14 mars 1412,Le Parlement interdit aux chanoines de la Sainte-Chapelle de s'établir en chapitre.,1412.0,1412.0
8 mai 1412,Charles VI et son armée quittent Paris pour attaquer Bourges et le duc de Berry.,1412.0,1412.0
30-31 mai 1412,Grandes processions des Parisiens en soutien au roi parti combattre à Bourges.,1412.0,1412.0
1er-30 juin 1412,Processions quotidiennes pour obtenir la paix entre le roi et les seigneurs de France.,1412.0,1412.0
Août 1412,Canicule sur toute la région.,1412.0,1412.0
20 août 1412,L'Université informe le roi Charles VI du débarquement anglais en Cotentin.,1412.0,1412.0
22 août 1412,Le roi fait annoncer la réconciliation entre les ducs de Bourgogne et d'Orléans.,1412.0,1412.0
29 août 1412,Procession générale pour la paix qui va être signée.,1412.0,1412.0
12 septembre 1412,Proclamation officielle du traité de paix d'Auxerre.,1412.0,1412.0
12 septembre 1412,"Au grand conseil, le duc de Guyenne réhabilite Jean de Montagu.",1412.0,1412.0
27 septembre 1412,La dépouille de Jean de Montagu est décrochée du gibet et sa tête ôtée de la lance.,1412.0,1412.0
28 septembre 1412,"Après des obsèques solennelles à l'église Saint-Paul, son corps est porté à Marcoussis.",1412.0,1412.0
23 octobre 1412,Retour du roi et des princes. Manifestations de joie dans Paris.,1412.0,1412.0
13 novembre 1412,Lecture à Notre-Dame de l'excommunication des grands du parti Armagnac.,1412.0,1412.0
23 novembre 1412,Charles VI restitue au prévôt des marchands les chartes qu'il avait confisquées.,1412.0,1412.0
19 décembre 1412,"Le roi autorise la dérivation de l'égout du pont Perrin, rue Saint-Antoine.",1412.0,1412.0
30 janvier 1413,"Ouverture des États généraux, réunis dans la grande salle de l'hôtel Saint-Pol.",1413.0,1413.0
4 février 1413,États généraux : les délégués de province réclament des réformes importantes.,1413.0,1413.0
9 février 1413,États généraux : Benoît Gencien déçoit par un discours trop neutre.,1413.0,1413.0
13 février 1413,Eustache de Pavilly plaide violemment contre les abus de l'administration royale.,1413.0,1413.0
17 février 1413,Clôture des États généraux.,1413.0,1413.0
24 février 1413,On annonce de nombreuses destitutions et la création d'une commission de réforme.,1413.0,1413.0
25 février 1413,Plusieurs grands officiers sont arrêtés. Pierre des Essarts a fui Paris.,1413.0,1413.0
12 mars 1413,Robert de la Heuse est nommé prévôt de Paris.,1413.0,1413.0
23 avril 1413,"De nombreux bourgeois, très inquiets, quittent la ville.",1413.0,1413.0
24 avril 1413,Les insurgés font approuver leur action violente par le Conseil du roi.,1413.0,1413.0
26 avril 1413,"De retour, Pierre des Essarts tient la Bastille avec des hommes du dauphin.",1413.0,1413.0
27 avril 1413,Début dune insurrection menée par les bouchers Simon Caboche et Jean de Troyes.,1413.0,1413.0
28 avril 1413,Caboche et Saint-Yon entraînent la foule en armes et envahissent lhôtel Saint-Pol.,1413.0,1413.0
28 avril 1413,Jean sans Peur tente de protéger une partie des prisonniers partisans des Armagnacs.,1413.0,1413.0
29 avril 1413,"A la Bastille Saint-Antoine, les sbires de Caboche se saisissent de Pierre des Essarts.",1413.0,1413.0
Début mai 1413,Les Parisiens adoptent le chaperon blanc comme signe de reconnaissance.,1413.0,1413.0
10 mai 1413,Eustache de Pavilly réclame de nouvelles arrestations dans lentourage du dauphin.,1413.0,1413.0
11 mai 1413,Caboche et ses hommes arrêtent plusieurs officiers accusés de corruption.,1413.0,1413.0
12 mai 1413,Discours du carme Eustache de Pavilly pour justifier les arrestations de la veille.,1413.0,1413.0
18 mai 1413,"Au cours dune messe à Notre-Dame, le roi est prié de coiffer le chaperon blanc.",1413.0,1413.0
22 mai 1413,"La foule envahit à nouveau l'hôtel Saint-Pol, voulant arrêter les familiers de la reine.",1413.0,1413.0
24 mai 1413,Jean de Troyes et ses hommes s'invitent au Conseil du roi et dictent leurs volontés.,1413.0,1413.0
26  mai 1413,Lecture au Parlement dune ordonnance prévoyant un contrôle des finances publiques.,1413.0,1413.0
27 mai 1413,Le roi et son conseil jurent de respecter lordonnance [dite « cabochienne »].,1413.0,1413.0
29  mai 1413,Jean Courtecuisse vante les mérites de la réforme devant le roi.,1413.0,1413.0
31 mai 1413,Le prévôt Pierre des Essarts est transféré de la prison du Louvre à celle du Palais.,1413.0,1413.0
31 mai 1413,"Pose du premier pieu du pont Notre-Dame, à l'emplacement des Planches-Mibray.",1413.0,1413.0
10 juin 1413,"Jacques de la Rivière, chevalier, et Simon du Mesnil, écuyer, sont décapités.",1413.0,1413.0
13 juin 1413,Le dauphin est contraint décrire que lui et le roi ne sont pas prisonniers des Parisiens.,1413.0,1413.0
14 juin 1413,"Mort de Joachim de Chanteprime, archiprêtre de Saint-Séverin.",1413.0,1413.0
Mi-juin 1413,"Colin de Brie, écuyer, considéré comme traître, est mis à mort aux Halles.",1413.0,1413.0
1er juillet 1413,Pierre des Essarts est décapité et son corps pendu au gibet de Montfaucon.,1413.0,1413.0
13 juillet 1413,Le Parlement et les notables souhaitent louverture de négociations entre princes.,1413.0,1413.0
20 juillet 1413,LUniversité envoie à Pontoise une ambassade pour favoriser la paix.,1413.0,1413.0
1er août 1413,Retour à Paris des princes réconciliés.,1413.0,1413.0
2 août 1413,Les bourgeois de Paris se rebellent contre les bouchers.,1413.0,1413.0
3-4 août 1413,L'Université et le Parlement demandent au roi la paix avec les Armagnacs.,1413.0,1413.0
4 août 1413,Jean Jouvenel et le dauphin font libérer les prisonniers faits par Caboche.,1413.0,1413.0
6 août 1413,Procession du clergé à Saint-Martin-des-Champs en faveur de la paix.,1413.0,1413.0
6-7 août 1413,Assemblée générale de lUniversité aux Mathurins en présence des princes.,1413.0,1413.0
6-8 août 1413,"Les Cabochiens, bouchers en tête, fuient Paris. La paix est officiellement proclamée.",1413.0,1413.0
7 août 1413,Les échevins proches de Jean sans Peur sont tous remerciés.,1413.0,1413.0
8 août 1413,"Henri de Marle, premier président du Parlement, est nommé chancelier de France.",1413.0,1413.0
11 août 1413,"Le duc de Berry est nommé capitaine de Paris, à la place d'un meneur cabochien.",1413.0,1413.0
16 août 1413,Les portes Saint-Martin et du Temple sont murées. Canicule sur Paris.,1413.0,1413.0
23 août 1413,Jean sans Peur fuit Paris. Les Armagnacs vont reprendre les rênes du royaume.,1413.0,1413.0
29 août 1413,"Les émeutiers sont amnistiés, à lexception de soixante-neuf meneurs.",1413.0,1413.0
31 août 1413,Le duc d'Orléans et ses alliés rejoignent le roi à Paris.,1413.0,1413.0
1er septembre 1413,Entrée triomphale du duc d'Orléans et du duc de Bourbon.,1413.0,1413.0
2 septembre 1413,Les princes se présentent au roi et jurent la paix.,1413.0,1413.0
4 septembre 1413,"A la conciergerie, Gerson défend la nécessité dune réforme.",1413.0,1413.0
5 septembre 1413,"Abolition de l'ordonnance ""cabochienne"" et d'autres édits contre les Armagnacs.",1413.0,1413.0
