evenement,startyear,endyear,commentaire
54 templiers relaps sont brûlés près du moulin Saint-Antoine.,1310.00,1310.00,
"La béguine Marguerite Porète, hérétique, et un juif converti relaps, sont brûlés vifs.",1310.00,1310.00,
Fin des interrogatoires de la commission pontificale de Paris.,1311.00,1311.00,
"Le roi remet aux religieuses de Poissy le cimetière juif, rue de la Harpe, pour 1000 l. t.",1311.00,1311.00,
Pierre Marcel cède au roi sa maison pour que celui-ci puisse agrandir son palais.,1311.00,1311.00,
"Fondation du collège d'Harcourt, rue Saint-Cosme, proche de la porte d'Enfer.",1311.00,1311.00,
Les biens des templiers sont repris par les frères hospitaliers de St-Jean-de-Jérusalem.,1312.00,1312.00,
"L'évêque de Paris, Guillaume Baufet, ratifie la fondation du collège d'Harcourt.",1312.00,1312.00,
"Mort de Betin Cassinel, immigré lombard, maître des monnaies à Paris.",1312.00,1312.00,
"Levée d'une taille pour la chevalerie de Louis, fils de Philippe le Bel.",1313.00,1313.00,
Le roi ordonne au prévôt des marchands de construire un quai devant l'hôtel de Nesle.,1313.00,1313.00,
Fêtes pour l'inauguration du palais rénové et pour la chevalerie de Louis de Navarre.,1313.00,1313.00,
Le roi confirme la fondation du collège de Laon-Presles situé rue du Clos-Bruneau.,1314.00,1314.00,
Une ordonnance royale confirme la mainmise d'Enguerrand de Marigny sur le Trésor.,1314.00,1314.00,
"Sur le parvis Notre-Dame, J. de Molay et trois autres templiers renient leurs aveux.",1314.00,1314.00,
"Jacques de Molay et Geoffroy de Charney, relaps, sont brûlés sur l'Ile aux Juifs.",1314.00,1314.00,
"Marguerite, Blanche et Jeanne de Navarre sont arrêtées et accusées d'adultère.",1314.00,1314.00,
Le prévôt Etienne Barbette et les bourgeois acceptent un effort financier pour le roi.,1314.00,1314.00,
Nobles et bourgeois sont exaspérés par la taxe de 10 deniers par livre sur toute vente.,1314.00,1314.00,
On apprend la mort de Philippe le Bel. Louis X [le Hutin] devient roi de France.,1314.00,1314.00,
Le corps de Philippe le Bel est ramené à Paris par la Seine et déposé aux Bernardins.,1314.00,1314.00,
Obsèques de Philippe le Bel à Notre-Dame.,1314.00,1314.00,
Fondation du collège de Montaigu.,1314.00,1314.00,
Le roi fait arrêter Enguerrand de Marigny. Il est mis en prison dans la tour du Louvre.,1315.00,1315.00,
"Enguerrand de Marigny, conseiller du roi, est pendu à Montfaucon pour prévarication.",1315.00,1315.00,
Pluies quasi-continuelles : la Seine sort de son lit.,1315.00,1315.00,
"Nombreuses processions entre Paris et Saint-Denis, pour faire cesser la pluie.",1315.00,1315.00,
Les Juifs sont autorisés à revenir s'installer à Paris.,1315.00,1315.00,
Les ponts de Paris sont brisés par la débâcle.,1315.00,1316.00,
La faiblesse des récoltes fait flamber le cours des céréales.,1316.00,1316.00,
"Le corps du roi Louis X, mort au château de Vincennes le matin même, arrive à Paris.",1316.00,1316.00,
"Philippe, comte de Poitiers, vient s'imposer comme régent de Jeanne, fille de Louis X",1316.00,1316.00,
Philippe réunit une assemblée de la noblesse pour régler les questions de succession.,1316.00,1316.00,
Paris apprend l'élection du nouveau pape Jean XXII [Jacques Duèze].,1316.00,1316.00,
Robert d'Artois est emprisonné au Châtelet puis à Saint-Germain-des-Prés.,1316.00,1316.00,
"Naissance de Jean, fils du roi défunt Louis X.",1316.00,1316.00,
"Jean 1er, héritier de la couronne, meurt âgé de 5 jours.",1316.00,1316.00,
Une  ordonnance réglemente sévèrement le déroulement des séances du Parlement.,1316.00,1316.00,
Galéran Nicolaï de Grève fonde un collège pour les écoliers de Cornouailles.,1317.00,1317.00,
Philippe de Poitiers part à Reims pour son sacre et son couronnement.,1317.00,1317.00,
Philippe réunit une assemblée de nobles et de prélats pour légitimer son sacre.,1317.00,1317.00,
"Mort de Louis, fils unique du roi Philippe. Il est enterré aux Jacobins.",1317.00,1317.00,
Le roi Philippe V [le Long] fait sortir Robert d'Artois de sa prison.,1317.00,1317.00,
Le roi rassemble les États de la nation pour voter un impôt qui financera la croisade.,1317.00,1317.00,
Le squelette d'Enguerrand de Marigny est dépendu du gibet.,1317.00,1317.00,
"On annonce la mort de Robert, fils d'Othon de Bourgogne et de Mahaut d'Artois.",1317.00,1317.00,
Le grand Conseil prononce l'affranchissement des serfs du domaine royal.,1318.00,1318.00,
Le Conseil royal innocente Guillaume d'Harcourt en appel et déboute le Parlement.,1318.00,1318.00,
Bénédiction du nouveau monastère des Carmes.,1318.00,1318.00,
"Signature d'un traité entre le roi, le duc de Bourgogne et sa mère Agnès.",1318.00,1318.00,
Philippe le Long fait don de l'hôtel de Nesle à sa femme Jeanne de Bourgogne.,1319.00,1319.00,
La reine Jeanne pose la première pierre de l'hôpital Saint-Jacques-aux-Pèlerins.,1319.00,1319.00,
"A Longchamp, début d'une conférence relative aux querelles d'Artois.",1319.00,1319.00,
La veuve d'Enguerrand de Marigny est blanchie par le Conseil royal.,1319.00,1319.00,
"Inhumation de Louis, comte d'Évreux, dans l'église des Frères Prêcheurs.",1319.00,1319.00,
"Le cardinal Gaucelin, venu de Rome, et le roi négocient une paix avec les Flamands.",1319.00,1319.00,
Fondation de la chantrerie de la Sainte-Chapelle.,1319.00,1319.00,
"Mort de Guillaume Baufet, évêque de Paris.",1319.00,1319.00,
Une ordonnance royale réforme le fonctionnement de la Chambre des comptes.,1320.00,1320.00,
Le roi et le Grand Conseil en réunion approuvent le traité de paix avec les Flamands.,1320.00,1320.00,
Philippe le Long autorise les pelletiers et les meuniers à rétablir leur confrérie.,1320.00,1320.00,
Les Pastoureaux arrivent par centaines et entraînent la foule dans leur mouvement.,1320.00,1320.00,
Robert de Béthune vient au palais royal et jure d'appliquer les conventions de paix.,1320.00,1320.00,
Joutes bourgeoises dans l'Ile aux Juifs à l'occasion du mariage de la fille du roi.,1320.00,1320.00,
Le prévôt Henri de Taperel est pendu pour avoir fait exécuter un innocent.,1320.00,1320.00,
Etienne de Bouret est évêque de Paris.,1320.00,1320.00,
Le roi autorise les oubliers à rétablir leur confrérie en l'honneur de saint Michel.,1321.00,1321.00,
Le Conseil royal innocente Jean Lointier accusé de vols par Bertrand de Corbie.,1321.00,1321.00,
"Ostension des Saintes Reliques, de Saint-Denis à Longchamp, pour la guérison du roi.",1321.00,1321.00,
"Fondation du collège de Cornouailles, rue des Plâtriers.",1321.00,1321.00,
"Mort d'Etienne Barbette, voyer de Paris puis prévôt des marchands.",1321.00,1321.00,
Philippe V meurt à Longchamp à l'âge de 28 ans. Son frère Charles [IV] lui succède.,1322.00,1322.00,
"Le corps du roi est porté à Notre-Dame, puis à Saint-Denis.",1322.00,1322.00,
"Inhumation aux Cordeliers de Marie, veuve de Philippe III. Son cour va aux Jacobins.",1322.00,1322.00,
Le roi autorise la construction de l'église et de l'hôpital Saint-Jacques-aux-Pèlerins.,1322.00,1322.00,
"Mort de Louis 1er, comte de Nevers. Il est enterré chez les Frères Mineurs [Cordeliers]",1322.00,1322.00,
Le pape Jean XXII approuve la fondation de l'hôpital Saint-Jacques-aux-Pèlerins.,1322.00,1322.00,
"Fondation du collège Saint-Martin, dit collège du Plessis, rue Saint-Jacques.",1323.00,1323.00,
"Jourdain de L'Isle, noble gascon, est pendu pour viol, meurtre et autres méfaits.",1323.00,1323.00,
Paris est touché par une grave épidémie.,1323.00,1323.00,
Jean du Prieuré et Jean de Persan sont mis au bûcher pour hérésie et sorcellerie.,1323.00,1323.00,
Refondation des collèges de Laon et de Presles.,1324.00,1324.00,
Fondation du collège de Tréguier.,1325.00,1325.00,
"Étienne de Bouret réhabilite certaines thèses de saint Thomas, condamnées en 1277.",1325.00,1325.00,
Sécheresse et grandes chaleurs.,1325.00,1325.00,
"Mort d'Étienne de Bouret, évêque de Paris.",1325.00,1325.00,
La Seine gèle profondément.,1325.00,1325.00,
"Le Grand-Pont et le Petit-Pont, tous deux en bois, sont rompus.",1325.00,1325.00,
On fait des dons aux pauvres pour qu'ils prient pour Charles de Valois très malade.,1326.00,1326.00,
Hugues de Besançon devient évêque de Paris.,1326.00,1326.00,
Fondation du collège des Écossais.,1326.00,1326.00,
Louis de Clermont clame à Notre-Dame qu'il reporte son départ pour la Terre Sainte.,1326.00,1326.00,
Inhumation de Charles de Valois au monastère des Chartreux.,1326.00,1326.00,
"Pose de la première pierre de l'église du Saint-Sépulcre, rue Saint-Denis.",1326.00,1326.00,
Pose de la première pierre de la nouvelle chapelle de la Sorbonne.,1326.00,1326.00,
"Fondation, par Guy de Laon, du collège de Laon, rue du Clos-Bruneau.",1327.00,1327.00,
"Alphonse d'Espagne, arrière-petit-fils de saint Louis, est inhumé aux Jacobins.",1327.00,1327.00,
Le roi Charles IV le Bel meurt au château de Vincennes.,1328.00,1328.00,
Avènement et régence de Philippe VI de Valois.,1328.00,1328.00,
"Pierre Remy, trésorier des finances, est pendu à Montfaucon pour malversations.",1328.00,1328.00,
Entrée solennelle de Philippe VI par la porte Saint-Denis.,1328.00,1328.00,
"Fondation du collège de Marmoutier, rue Saint-Jacques.",1329.00,1329.00,
La comtesse Mahaut d'Artois meurt en son hôtel parisien.,1329.00,1329.00,
Jeanne de Bourgogne est inhumée au couvent des Cordeliers.,1330.00,1330.00,
Grandes joutes bourgeoises à la Couture Saint-Martin.,1330.00,1330.00,
Le roi fait saisir les biens des Lombards qui pratiquent l'usure à Paris.,1330.00,1330.00,
L'hôtel de Nesle est vendu au roi pour financer la fondation du collège de Bourgogne.,1330.00,1330.00,
Jean de Milon est nommé prévôt de Paris.,1330.00,1330.00,
"Fondation du collège de Marmoutier, par division du collège du Plessis.",1332.00,1332.00,
"Fondation du collège de Bourgogne, rue des Cordeliers.",1332.00,1332.00,
Le roi donne à son fils la maison que Robert d'Artois avait rue St-Germain-des-Prés.,1332.00,1332.00,
"Le roi donne l'hôtel de Nesle à sa femme, Jeanne de Bourgogne.",1332.00,1332.00,
"Mort de Hugues de Besançon, évêque de Paris.",1332.00,1332.00,
Guillaume V de Chanac devient évêque de Paris.,1332.00,1332.00,
"Fondation du collège de Tours, rue de la Harpe.",1333.00,1333.00,
"Fondation du collège des Lombards, rue des Carmes.",1333.00,1333.00,
Le roi autorise les religieux des Blancs-Manteaux à percer une porte dans sa muraille.,1334.00,1334.00,
"Fondation du collège de Lisieux, rue Saint-Étienne-des-Grès.",1336.00,1336.00,
L'ancien prévôt de Paris Hugues de Crusy est pendu pour crime de lèse-majesté.,1336.00,1336.00,
Début de la construction de l'église du collège des Bernardins.,1338.00,1338.00,
Fondation du collège de l'Ave Maria par Jean de Hubant.,,,
"Exécution de Béthin de Saint-Denis, coupable de forfaiture.",1339.00,1339.00,
Le collège de Laon a été transféré rue de la Montagne-Sainte-Geneviève.,1340.00,1340.00,
Les thèses de Guillaume d'Ockham sont condamnées par l'Université.,1340.00,1340.00,
"Fondation du collège du cardinal Bertrand, dit collège d'Autun, rue St-André-des-Arts",1341.00,1341.00,
Vaugirard est érigé en paroisse [Notre-Dame].,1342.00,1342.00,
Foulques de Chanac succède à Guillaume de Chanac comme évêque de Paris.,1342.00,1342.00,
Le pape Clément VI approuve l'érection de la chapelle de St-Julien-des-Ménestriers.,1343.00,1343.00,
Olivier de Clisson est décapité aux Halles.,1343.00,1343.00,
Dix chevaliers bretons du parti de Jean de Montfort sont décapités.,1343.00,1343.00,
Le duc Eudes de Bourgogne arrive à Paris.,1343.00,1343.00,
"Enterrement aux Jacobins du cour de Philippe d'Évreux, roi de Navarre.",1343.00,1343.00,
Ordonnance royale pour la réforme du Parlement qui devient permanent.,1345.00,1345.00,
Le patronage des paroisses de Saint-André et de Saint-Côme revient à l'Université.,1345.00,1345.00,
Le prévôt des marchands Jean Pizdoue est anobli par le roi Philippe le Long.,1345.00,1345.00,
Les Parisiens accordent au roi une aide de 28 000 livres pour financer ses troupes.,1345.00,1345.00,
Ouverture des États de langue d'oïl.,1346.00,1346.00,
Nouvelle aide financière des Parisiens pour l'armée du roi.,1346.00,1346.00,
"L'inquiétude grandit à l'approche des troupes d'Édouard III, le roi d'Angleterre.",1346.00,1346.00,
Le roi ordonne la destruction de maisons bâties trop près des remparts.,1346.00,1346.00,
L'annonce du départ du roi dans la nuit entraîne un début de panique.,1346.00,1346.00,
L'annonce de la défaite de Crécy provoque la colère des Parisiens.,1346.00,1346.00,
Expulsion des Lombards pratiquant l'usure à Paris.,1347.00,1347.00,
Consécration de la nouvelle chapelle du collège de Sorbonne.,1347.00,1347.00,
"Arrestation et emprisonnement de Pierre des Essarts, maître des Comptes.",1347.00,1347.00,
Ouverture des États qui décideront d'une aide financière au roi.,1347.00,1347.00,
Les États accordent au roi des subsides sous certaines conditions.,1347.00,1347.00,
"Fondation du collège des Trois-évêques [de Cambrai], rue de l'Hôpital.",1348.00,1348.00,
Pierre des Essarts est libéré de prison contre une amende de 50 000 livres.,1348.00,1348.00,
Le prévôt fait crier à Paris la nouvelle ordonnance du roi contre les blasphémateurs.,1348.00,1348.00,
"Adam de Hourdain, conseiller du roi, est pendu au gibet, condamné pour corruption.",1348.00,1348.00,
La peste commence à faire des victimes dans Paris.,1348.00,1348.00,
Le prévôt impose aux Parisiens de transporter leurs ordures à la voirie.,1348.00,1348.00,
"Au plus fort de l'épidémie de peste, le Conseil royal décide de quitter Paris.",1349.00,1349.00,
"Foulques de Chanac, évêque de Paris, meurt de la peste.",1349.00,1349.00,
"Mort de Jean Justice, conseiller du roi. Ses biens iront à la fondation d'un collège.",1349.00,1349.00,
Mort de Pierre des Essarts. Son gendre Étienne Marcel refuse sa succession.,1349.00,1349.00,
Audoin Aubert est évêque de Paris.,1349.00,1349.00,
On constate enfin une décrue de l'épidémie de peste.,1350.00,1350.00,
On apprend la mort du roi Philippe VI à Nogent-le-Roi.,1350.00,1350.00,
Le roi Jean II fait son entrée solennelle dans la capitale et se rend à Notre-Dame.,1350.00,1350.00,
"Exécution du connétable Raoul de Brienne, comte d'Eu, à l'hôtel de Nesle.",1350.00,1350.00,
Pierre de la Forêt succède à Audoin Aubert comme évêque de Paris.,1350.00,1350.00,
Grande ordonnance royale sur les prix et les salaires.,1351.00,1351.00,
Ouverture des États au Parlement pour traiter des problèmes financiers du royaume.,1351.00,1351.00,
Jean de Meulan succède à Pierre de la Forêt comme évêque de Paris.,1352.00,1352.00,
Le roi réhabilite Pierre des Essarts et fait rembourser l'amende perçue en 1347.,1352.00,1352.00,
"Fondation du collège de Mignon, rue des Petits-Champs.",1353.00,1353.00,
Le roi Jean quitte Paris.,1354.00,1354.00,
Ordonnance royale qui reporte à Pâques prochain le paiement des gages des officiers.,1355.00,1355.00,
Convocation des États généraux pour le 30 novembre.,1355.00,1355.00,
Étienne Marcel s'impose dès la première séance des États.,1355.00,1355.00,
Les États généraux accordent un impôt de 8 deniers par livre sur toutes les ventes. ,1356.00,1356.00,
Nouvelle session des États pour constater que l'impôt rentre mal.,1356.00,1356.00,
"Charles de Navarre, arrêté à Rouen par le roi, est enfermé au Louvre puis au Châtelet.",1356.00,1356.00,
Ouverture d'une nouvelle session des États.,1356.00,1356.00,
Clôture des États. Une ordonnance modifie la perception de l'impôt.,1356.00,1356.00,
La nouvelle du désastre de Poitiers provoque une émotion considérable à Paris.,1356.00,1356.00,
"De retour à Paris, le dauphin Charles convoque les trois États.",1356.00,1356.00,
Nicole Oresme devient grand maître du collège de Navarre.,1356.00,1356.00,
Étienne Marcel et la municipalité vont faire construire un mur pour protéger Paris.,1356.00,1356.00,
"Nouvelle session des États. Robert le Coq, évêque de Laon, mène les débats.",1356.00,1356.00,
Une délégation présente - en vain - au dauphin les exigences de l'assemblée.,1356.00,1356.00,
Le dauphin dissout les États et quitte Paris.,1356.00,1356.00,
"Aux Cordeliers, violent discours de Robert le Coq contre les conseillers du roi.",1356.00,1356.00,
Les Parisiens sont exaspérés par la nouvelle ordonnance dévaluant la monnaie.,1356.00,1356.00,
Etienne Marcel demande au comte d'Anjou que cette décision soit annulée.,1356.00,1356.00,
"Le dauphin Charles, de retour de Metz, fait son entrée à Paris.",1357.00,1357.00,
Discussions serrées entre le dauphin et Étienne Marcel au sujet des monnaies.,1357.00,1357.00,
Charles renonce à la nouvelle monnaie et éloigne ses conseillers les plus décriés.,1357.00,1357.00,
Nouvelle session des États généraux aux Cordeliers. Les Parisiens s'imposent.,1357.00,1357.00,
Les États accordent au dauphin une aide financière dont elle contrôlera la répartition.,1357.00,1357.00,
"Le roi Jean, prisonnier, informe les Parisiens qu'un traité avec les Anglais est conclu.",1357.00,1357.00,
"Malgré l'interdiction du roi Jean, une nouvelle session des États est ouverte.",1357.00,1357.00,
Etienne Marcel achète la Maison aux Piliers pour y fixer la prévôté des marchands.,1357.00,1357.00,
Le dauphin fait dire à Étienne Marcel et aux échevins qu'il veut gouverner seul.,1357.00,1357.00,
Le dauphin se voit obligé de convoquer à nouveau les États généraux.,1357.00,1357.00,
Ouverture d'une session des États aux Cordeliers.,1357.00,1357.00,
"Fondation du collège de Boncourt, rue Sainte-Geneviève.",1357.00,1357.00,
Le roi de Navarre libéré est conduit à l'abbaye Saint-Germain-des-Prés.,1357.00,1357.00,
Charles le Mauvais s'adresse aux Parisiens au Pré-aux-Clerc où il est acclamé.,1357.00,1357.00,
Une délégation parisienne demande au dauphin de se réconcilier avec le Mauvais.,1357.00,1357.00,
Charles le Mauvais quitte Paris.,1357.00,1357.00,
"Aux Halles, le dauphin s'adresse aux Parisiens pour les rassurer.",1358.00,1358.00,
"A l'hôpital Saint-Jean, Étienne Marcel et le dauphin tentent chacun de convaincre.",1358.00,1358.00,
Le dauphin convoque au palais les Corps des métiers pour s'assurer de leur fidélité.,1358.00,1358.00,
Ouverture d'une nouvelle session des États aux Cordeliers.,1358.00,1358.00,
Les États se terminent par un accord sur le produit des impôts.,1358.00,1358.00,
"A la suite d'une querelle d'argent, le changeur Perrin Marc tue le trésorier Jean Baillet.",1358.00,1358.00,
"De nuit, le prévôt force les portes de Saint-Merry pour en extraire Perrin Marc.",1358.00,1358.00,
Perrin Marc est mutilé puis pendu à Montfaucon sur ordre du dauphin.,1358.00,1358.00,
L'évêque de Paris obtient la restitution du corps du supplicié.,1358.00,1358.00,
Perrin Marc et Jean Baillet sont inhumés par leurs partisans respectifs.,1358.00,1358.00,
Arrivée à Paris des envoyés du roi Jean qui font connaître les clauses du traité de paix.,1358.00,1358.00,
Nouvelle session des États. La noblesse n'y participe pas.,1358.00,1358.00,
Les États modifient la répartition de l'impôt voté le 3 mars 1357.,1358.00,1358.00,
"La foule, menée par Étienne Marcel se rassemble à Saint-Éloi puis envahit le Palais.",1358.00,1358.00,
Les maréchaux de Champagne et de Normandie sont tués sous les yeux du dauphin.,1358.00,1358.00,
"Au couvent des Augustins, Étienne Marcel justifie l'assassinat des maréchaux.",1358.00,1358.00,
"Au Parlement, le dauphin promet de faire respecter l'ordonnance du 3 mars 1357.",1358.00,1358.00,
Retour du roi de Navarre. Étienne Marcel lui demande son appui.,1358.00,1358.00,
Un accord est conclu entre le dauphin et Charles de Navarre.,1358.00,1358.00,
Le dauphin Charles prend officiellement le titre de régent du royaume.,1358.00,1358.00,
"Charles, maintenant régent, quitte Paris pour Senlis.",1358.00,1358.00,
Une troupe de Parisiens en armes partent à Corbeil se confronter à l'armée du régent.,1358.00,1358.00,
Étienne Marcel et le régent s'opposent par lettres et délégations interposées.,1358.00,1358.00,
Les hommes de d'Étienne Marcel saisissent de nombreuses armes au Louvre.,1358.00,1358.00,
"Réunie aux Mathurins, la Faculté des Arts opte pour l'envoi de négociateurs au régent.",1358.00,1358.00,
Le roi de Navarre rentre à Paris avec ses troupes.,1358.00,1358.00,
"Étienne Marcel, appuyé par Charles le Mauvais, rejette l'accord obtenu par la Faculté.",1358.00,1358.00,
Regnaud de Douy offre des orgues à l'église Saint-Séverin.,1358.00,1358.00,
Exécution de Jean Perret et Thomas Fouquant accusés de comploter pour le dauphin.,1358.00,1358.00,
"Des Parisiens, associés aux Jacques, sont écrasés devant Meaux.",1358.00,1358.00,
"Étienne Marcel ouvre les portes de Paris à Charles le Mauvais, roi de Navarre.",1358.00,1358.00,
Charles de Navarre est nommé capitaine de Paris.,1358.00,1358.00,
La reine Jeanne de Boulogne favorise un accord entre le régent et Charles le Mauvais.,1358.00,1358.00,
Étienne Marcel refuse d'entériner l'accord.,1358.00,1358.00,
"Au Petit-Bercy, les troupes du régent repoussent des Parisiens sortis en armes.",1358.00,1358.00,
"Faute d'argent pour ses troupes, le régent accepte de lever le siège de Paris.",1358.00,1358.00,
Une violente rixe oppose des Parisiens à des mercenaires anglais du roi de Navarre.,1358.00,1358.00,
"Place de Grève, la foule réclame la mort des mercenaires anglais prisonniers.",1358.00,1358.00,
"On sent chez les Parisiens un revirement en faveur du régent, contre le Mauvais.",1358.00,1358.00,
Étienne Marcel parvient à faire libérer les Anglais prisonniers.,1358.00,1358.00,
Étienne Marcel est tué à la porte Saint-Antoine par Jean Maillard et ses hommes.,1358.00,1358.00,
Retour du dauphin à Paris. Il promet le pardon aux habitants.,1358.00,1358.00,
Plusieurs traitres et rebelles sont exécutés aux Halles.,1358.00,1358.00,
Des lettres générales de rémission sont accordées aux Parisiens.,1358.00,1358.00,
Colère des Parisiens après l'arrestation de vingt partisans d'Étienne Marcel.,1358.00,1358.00,
Le prieuré Saint-Éloi est autorisé à établir une boucherie à la porte Baudoyer.,1358.00,1358.00,
Les suspects arrêtés le 25 octobre sont tous libérés.,1358.00,1358.00,
Les États à nouveau réunis refusent de ratifier le traité de paix du roi Jean.,1359.00,1359.00,
Le roi d'Angleterre et son armée occupent plusieurs villages au sud de Paris.,1360.00,1360.00,
Les Parisiens payent 24 000 écus aux Anglais pour le rachat de dix forts près de Paris.,1360.00,1360.00,
On annonce que le Conseil du roi a décidé l'abolition générale des impôts.,1360.00,1360.00,
"A peine sorti de prison, Jean Poilevilain est nommé général maître des monnaies.",1361.00,1361.00,
"Le dauphin Charles achète l'hôtel d'Étampes, appelé Saint-Pol, pour 4 000 écus d'or.",1361.00,1361.00,
Jean Bernier est nommé prévôt de Paris.,1361.00,1361.00,
Fondation de l'hôpital du Saint-Esprit.,1362.00,1362.00,
"Le dauphin achète l'hôtel des abbés de Saint-Maur, rue Saint-Antoine.",1362.00,1362.00,
Recrudescence de l'épidémie de peste.,1362.00,1362.00,
"Mort de Jean de Meulan, évêque de Paris.",1363.00,1363.00,
Étienne de Paris est élu évêque de Paris.,1363.00,1363.00,
Le roi réunit les États généraux avant son départ.,1363.00,1363.00,
Le roi Jean repart pour Londres.,1364.00,1364.00,
On apprend la mort du roi Jean à Londres. Charles V lui succède.,1364.00,1364.00,
Entrée solennelle de Charles V à Paris.,1364.00,1364.00,
L'hôtel Saint-Pol et ses annexes font désormais partie du domaine de la Couronne.,1364.00,1364.00,
Charles V donne dix mille francs d'or pour bâtir l'église des Célestins.,1365.00,1365.00,
Il est interdit de porter des vêtements trop courts et des chaussures à la poulaine.,1365.00,1365.00,
On annonce la conclusion de la paix entre Charles V et le roi de Navarre.,1365.00,1365.00,
La reine et le duc d'Orléans quittent Paris pour Melun.,1405.00,1405.00,
Le roi acquiert l'hôtel de l'archevêque de Sens pour agrandir l'hôtel Saint-Pol.,1365.00,1365.00,
Intempéries continuelles sur Paris depuis un mois.,1365.00,1365.00,
Retour de la peste.,1366.00,1366.00,
Hugues Aubriot est nommé prévôt de Paris par le roi.,1367.00,1367.00,
On cherche des volontaires pour creuser les fossés de l'enceinte de la rive gauche.,1367.00,1367.00,
Une ordonnance de police oblige tous les « oiseux et faineans » à se faire embaucher.,1367.00,1367.00,
Aimery de Magnac succède à Étienne de Paris comme évêque de Paris.,1368.00,1368.00,
Le roi interdit d'enrôler dans le guet des membres de l'Université.,1368.00,1368.00,
"Naissance de Charles, fils du roi, en l'hôtel Saint-Pol.",1368.00,1368.00,
Reconstruction du Petit Châtelet par Hugues Aubriot.,1369.00,1369.00,
Construction du quai de la Mortellerie.,1369.00,1369.00,
Le roi se rend à Saint-Denis pour la fête de la dédicace de l'église.,1369.00,1369.00,
Ouverture d'une session des États pour traiter des difficultés avec le roi d'Angleterre.,1369.00,1369.00,
Charles V assiste à une grande procession.,1369.00,1369.00,
Hugues Aubriot pose la première pierre de la nouvelle bastide Saint-Antoine.,1370.00,1370.00,
"Pour la première fois, on fête la Saint-Louis à l'Université de Paris.",1370.00,1370.00,
Une chevauchée anglaise s'approche dangereusement de Paris.,1370.00,1370.00,
Bertrand du Guesclin entre dans Paris.,1370.00,1370.00,
Du Guesclin est nommé connétable de France.,1370.00,1370.00,
Fondation du collège de Maître-Gervais rue Érembourg de Brie.,1371.00,1371.00,
Les rives de la Seine sont gravement inondées. Le Grand Pont est rompu.,1373.00,1373.00,
Institution d'une confrérie de la Vierge Marie pour les paroissiens de Saint-Merry.,1373.00,1373.00,
Célébration de la dédicace de la chapelle du collège de Navarre.,1373.00,1373.00,
Hugues Aubriot est anobli par le roi.,1374.00,1374.00,
Le prévôt confirme l'établissement des boucheries du faubourg Saint-Germain.,1374.00,1374.00,
Le roi autorise les cordonniers à fonder une confrérie en l'honneur de saint Crépin.,1374.00,1374.00,
Charles V pose la première pierre de la chapelle du collège de Beauvais.,1375.00,1375.00,
Le roi autorise les cardeurs à fonder une confrérie en l'hôpital du Saint-Esprit.,1375.00,1375.00,
Une ordonnance du Parlement fixe à quatorze ans la majorité des rois de France.,1375.00,1375.00,
Le pape refuse d'ériger le diocèse de Paris en archevêché.,1377.00,1377.00,
"L'empereur Charles IV de Luxembourg, oncle du roi, est reçu avec faste à Paris.",1378.00,1378.00,
Début de la construction du pont Neuf [pont Saint-Michel].,1378.00,1378.00,
Charles V fonde un collège de neuf chanoines en la Sainte-Chapelle de Vincennes.,1379.00,1379.00,
"Jean de Guistry refonde le collège de Cornouailles, rue des Plâtriers.",1379.00,1379.00,
"Fondation du collège de Dainville, rue des Cordeliers.",1380.00,1380.00,
Guillaume de Salvadille réunit au Cloître les directeurs de toutes les petites écoles.,1380.00,1380.00,
Mort de Charles V au château de Beauté.,1380.00,1380.00,
Le corps du roi Charles V entre dans Paris par la porte Saint-Antoine.,1380.00,1380.00,
"Revenant de Reims, Charles VI, âgé de douze ans, entre solennellement à Paris.",1380.00,1380.00,
Réouverture des États : les bourgeois et le prévôt demandent l'abolition des impôts.,1380.00,1380.00,
"Le prévôt des marchands, Jean de Fleury, demande au roi l'abolition de tout impôt.",1380.00,1380.00,
"Émeutes antisémites : des maisons sont pillées, un rabbin est tué.",1380.00,1380.00,
Les États généraux acceptent le rétablissement des impôts directs pour un an.,1380.00,1380.00,
Les funérailles de Charles V sont troublées par une dispute autour du protocole.,1380.00,1380.00,
Le prévôt Hugues Aubriot est jugé pour avoir pris le parti des Juifs en novembre 1380,1381.00,1381.00,
Hugues Aubriot se rend chez l'évêque qui le fait incarcérer.,1381.00,1381.00,
Une ordonnance retire aux Juifs le droit de propriété.,1381.00,1381.00,
Une cour ecclésiastique condamne à la prison à vie le prévôt Hugues Aubriot.,1381.00,1381.00,
Audoin Chauveron est le nouveau prévôt de Paris.,1381.00,1381.00,
Le théologien Jean Blanchard est nommé chancelier de l'évêché par Clément VII.,1381.00,1381.00,
Négociation entre les ducs et les délégués des bourgeois pour les aides indirectes.,1382.00,1382.00,
Les bourgeois refusent la nouvelle taxe sur les marchandises demandée par le roi.,1382.00,1382.00,
"Le Conseil du roi, négligeant l'avis des bourgeois, va rétablir les impôts indirects.",1382.00,1382.00,
Les marchands des Halles sont autorisés à fonder une confrérie à Saint-Eustache.,1382.00,1382.00,
Un héraut proclame la levée d'un nouvel impôt pour le lendemain.,1382.00,1382.00,
Un fermier des impôts est tué par la foule aux Halles.,1382.00,1382.00,
Des émeutiers envahissent l'hôtel de Ville et s'emparent de 2 000 maillets en plomb.,1382.00,1382.00,
